STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
6377,14012681,,4.0,,,,6.75,7.5,9.0,,
6378,14012682,,5.0,,,,8.75,8.0,,,
6379,14012683,,5.75,,,,5.25,5.25,,,
6380,14012684,7.6,6.5,,,,8.5,8.5,,4.2,N1
6381,14012685,,7.0,,,,9.0,9.25,,,
6382,14012686,,5.0,,,,9.5,9.0,8.25,,
6383,14012687,,6.0,,,,6.75,7.5,8.75,,
6384,14012688,8.4,7.25,,,,,,,7.8,N1
6385,14012689,,6.0,,,,8.75,9.0,9.75,,
6386,14012690,8.4,7.75,,,,8.25,9.0,,,
6387,14012691,,6.5,,,,6.5,8.25,6.75,,
6388,14012692,,5.75,,,,5.0,5.5,,,
6389,14012693,,6.25,,,,6.75,8.0,,,
6390,14012694,7.6,,6.25,6.75,,,,,,
6391,14012695,,6.75,,,,7.75,8.75,,,
6392,14012696,,5.0,,,,8.5,8.5,,,
6393,14012697,,8.0,,,,10.0,9.5,8.75,,
6394,14012698,,6.0,,,,5.25,5.5,,,
6395,14012699,5.0,5.5,,,,7.0,8.5,,,
6396,14012700,,5.5,,,,6.25,8.5,9.25,,
6397,14012701,,5.75,,,,8.75,9.25,,,
6398,14012702,,5.5,,,,5.5,7.25,,,
6399,14012703,,5.75,,,,8.25,8.75,,,
6400,14012704,,4.5,,,,5.0,7.25,7.5,,
6401,14012705,9.0,,,7.0,6.5,,,,,
6402,14012706,,5.5,,,,8.25,7.25,,,
6403,14012707,5.0,5.5,,,,7.25,7.5,,,
6404,14012708,8.2,6.5,,,,9.75,9.0,,,
6405,14012709,1.8,4.5,,,,4.5,3.0,,,
6406,14012710,,7.0,,,,8.5,8.0,8.5,,
6407,14012711,,5.25,,,,8.25,7.75,,,
6408,14012712,,4.5,,,,6.75,7.0,,,
6409,14012713,,4.5,,,,6.75,7.0,,,
6410,14012714,,5.75,,,,9.0,8.75,,,
6411,14012715,,5.5,,,,9.0,8.75,,,
6412,14012716,,7.25,,,,7.5,9.5,,,
6413,14012717,3.2,5.5,,,,6.25,7.25,8.25,,
6414,14012719,,7.25,,,,8.25,8.5,,,
6415,14012720,,6.75,,,,10.0,9.75,,,
6416,14012722,,5.75,,,,8.75,7.5,,,
6417,14012723,,7.25,,,,,,,,
6418,14012724,,6.5,,,,8.5,8.25,,,
6419,14012725,,6.5,,,,8.5,8.0,,,
6420,14012727,,6.0,,,,8.25,8.75,,,
6421,14012728,4.6,4.0,,,,4.0,4.0,8.25,4.0,N1
6422,14012729,3.6,7.0,,,,7.75,8.25,,,
6423,14012730,8.0,,6.75,7.5,,,,,,
6424,14012732,6.8,6.0,,,,9.0,9.25,,3.0,N1
6425,14012733,6.0,4.5,,,,4.25,7.5,,,
6426,14012734,,7.0,,,,9.25,9.5,,,
6427,14012735,,5.0,,,,7.0,8.0,8.5,,
6428,14012736,,4.75,,,,5.75,8.5,,,
6429,14012737,8.4,,8.5,,,,,,7.2,N1
6430,14012738,4.8,6.5,,,,5.25,7.75,,,
6431,14012739,,5.5,,,,5.25,6.25,,,
6432,14012740,,9.0,,,,9.25,9.5,9.75,,
6433,14012741,,5.0,,,,4.75,7.75,,,
6434,14012742,,5.0,,,,4.25,5.0,,,
6435,14012743,,6.0,,,,7.0,8.25,,,
6436,14012745,,7.5,,,,9.25,8.0,,,
6437,14012746,8.0,5.75,,,,9.0,9.0,8.75,,
6438,14012747,,5.25,,,,8.25,7.25,9.0,,
6439,14012748,,6.75,,,,8.0,8.25,9.25,,
6440,14012750,,7.0,,,,9.5,9.0,,,
6441,14012751,3.2,5.5,,,,2.5,4.5,6.25,3.4,N1
6442,14012753,6.6,7.0,,,,7.75,8.25,7.75,,
6443,14012754,,4.0,,,,5.5,7.75,,,
6444,14012755,,5.25,,,,8.75,8.75,,,
6445,14012756,8.4,,4.0,8.0,8.0,,,,,
6446,14012757,,5.25,,,,7.0,8.0,,,
6447,14012758,,6.0,,,,7.75,9.25,,,
6448,14012759,8.2,,7.0,3.75,,,,,,
6449,14012760,,6.0,,,,3.75,6.25,5.75,,
6450,14012761,8.0,,7.0,7.5,,,,,,
6451,14012762,,3.5,,,,5.5,7.25,,,
6452,14012763,,5.0,,,,4.5,9.0,7.75,,
6453,14012764,,6.75,,,,8.0,9.0,7.5,,
6454,14012765,,6.5,,,,5.25,6.25,6.25,,
6455,14012766,,6.5,,,,10.0,8.75,,,
6456,14012767,,6.0,,,,8.25,8.25,,,
6457,14012768,4.0,4.5,,,,5.5,7.75,,,
6458,14012769,5.6,5.75,,,,,,,2.8,N1
6459,14012770,,5.0,,,,6.75,8.75,,,
6460,14012771,,6.5,,,,5.25,6.25,8.25,,
6461,14012772,,6.0,,,,5.75,8.5,,,
6462,14012773,7.4,,6.75,6.0,,,,,,
6463,14012774,2.8,4.0,,,,2.75,2.75,3.75,,
6464,14012776,6.8,7.75,,,,8.5,,9.5,,
6465,14012777,,6.25,,,,8.75,8.25,7.5,,
6466,14012778,,3.5,,,,4.5,4.5,,,
6467,14012779,,2.25,,,,6.75,6.0,6.5,,
6468,14012780,,5.0,,,,6.75,8.25,,,
6469,14012781,,3.75,,,,3.25,5.5,,,
6470,14012782,,4.0,,,,3.5,6.75,,,
6471,14012783,,6.75,,,,8.5,9.0,,,
6472,14012784,,5.5,,,,6.25,8.0,,,
6473,14012785,4.8,,2.75,3.5,,,,,,
6474,14012786,6.4,6.5,,,,,,,3.8,N1
6475,14012787,,6.0,,,,5.5,8.0,,,
6476,14012788,,6.0,,,,9.25,8.0,,,
6477,14012789,,5.5,,,,8.0,8.0,,,
6478,14012790,,2.5,,,,7.5,7.5,8.0,,
6479,14012791,,6.25,,,,6.75,8.0,,,
6480,14012792,,8.0,,,,8.75,9.0,,,
6481,14012793,,5.0,,,,5.5,7.75,7.5,,
6482,14012794,,5.0,,,,4.75,6.0,,,
6483,14012795,,4.25,,,,5.75,7.5,,,
6484,14012796,,2.25,,,,3.5,5.0,,,
6485,14012798,,4.25,,,,6.25,6.0,7.75,,
6486,14012799,,4.75,,,,5.25,7.0,,,
6487,14012800,6.4,6.0,,,,,,,3.8,N1
6488,14012801,,5.25,,,,6.0,,8.25,,
6489,14012802,,5.75,,,,7.5,7.5,,,
6490,14012803,7.0,5.75,,,,7.5,8.75,,4.4,N1
6491,14012804,7.8,7.5,,,,,,,8.0,N1
6492,14012805,,5.75,,,,7.5,,9.25,,
6493,14012806,,5.25,,,,7.25,7.75,,,
6494,14012807,8.2,,7.0,6.25,,,,,,
6495,14012808,,1.0,,,,2.75,4.5,,,
6496,14012809,5.2,6.5,,,,,7.25,,,
6497,14012810,,7.0,,,,9.5,9.0,,,
6498,14012811,,5.5,,,,5.75,8.25,7.0,,
6499,14012812,8.8,,7.0,5.0,,,,,,
6500,14012813,,6.0,,,,7.0,8.0,7.75,,
6501,14012814,,5.0,,,,6.5,8.0,,,
6502,14012815,6.8,8.25,,,,,8.25,,5.6,N1
6503,14012816,,7.0,,,,8.25,9.0,,,
6504,14012817,,7.25,,,,9.25,9.25,,3.4,N1
6505,14012818,,6.5,,,,8.0,8.0,9.25,,
6506,14012819,,5.75,,,,5.5,8.75,7.75,,
6507,14012820,,7.0,,,,6.25,6.25,,,
6508,14012821,,6.25,,,,8.25,8.25,,,
6509,14012822,,5.25,,,,4.25,6.75,,,
6510,14012823,,4.0,,,,5.5,7.5,,,
6511,14012824,7.2,7.5,7.25,8.25,6.0,,,,,
6512,14012825,,7.0,,,,5.25,7.25,,,
6513,14012826,,4.75,,,,8.0,8.5,,,
6514,14012827,,6.0,,,,8.0,8.5,,,
6515,14012828,,5.75,,,,7.75,8.0,,,
6516,14012830,,5.5,,,,5.25,8.5,,,
6517,14012831,,5.5,,,,4.75,5.75,,,
6518,14012832,6.6,,,3.0,4.75,,,,,
6519,14012833,1.8,1.75,,,,4.75,5.0,,,
6520,14012834,,6.0,,,,6.5,7.5,,,
6521,14012835,,6.5,,,,8.5,9.0,8.0,,
6522,14012836,,3.75,,,,6.5,8.75,,,
6523,14012837,,6.25,,,,9.75,9.25,7.5,,
6524,14012838,,7.0,,,,6.75,9.0,,,
6525,14012839,8.4,6.0,,,,,,,4.6,N1
6526,14012840,,5.75,,,,6.5,7.0,9.25,,
6527,14012841,,4.25,,,,4.5,6.0,,,
6528,14012842,,6.0,,,,7.75,9.25,,,
6529,14012844,,5.75,,,,4.75,8.5,,,
6530,14012845,,5.75,,,,7.25,8.5,7.5,,
6531,14012846,9.0,7.75,,,,,,,8.8,N5
6532,14012847,,7.75,,,,8.5,9.5,,,
6533,14012848,,5.25,,,,6.5,7.0,,,
6534,14012849,,6.5,,,,8.0,7.5,,,
6535,14012850,5.6,6.5,,,,6.75,7.25,8.0,,
6536,14012851,,3.25,,,,2.75,6.0,3.25,,
6537,14012853,,5.75,,,,5.5,8.0,,,
6538,14012854,,5.25,,,,8.75,9.0,9.0,,
6539,14012855,7.4,6.25,3.5,,,,,,3.2,N1
6540,14012856,,5.0,,,,5.25,8.0,,,
6541,14012857,,4.0,,,,4.0,8.25,7.25,,
6542,14012858,2.4,3.5,,,,4.25,4.5,4.0,1.8,N1
6543,14012859,,3.25,,,,2.75,5.75,,,
6544,14012860,,4.25,,,,5.75,7.25,,,
6545,14012861,,6.0,,,,3.5,7.0,,,
6546,14012862,,6.5,,,,9.75,8.75,9.5,,
6547,14012863,4.6,5.0,,,,8.25,8.25,,,
6548,14012864,,6.5,,,,8.5,9.0,8.5,,
6549,14012865,3.2,2.5,,,,2.5,2.25,2.5,2.8,N1
6550,14012866,8.2,,7.0,,,,,,5.8,N1
6551,14012867,2.0,5.25,3.0,3.5,3.0,,,,3.8,N1
6552,14012868,3.4,7.75,,,,9.25,8.5,8.0,,
6553,14012869,8.2,,4.5,5.0,,,,,,
6554,14012871,,3.75,,,,4.5,6.0,,,
6555,14012872,,3.25,,,,3.5,6.5,,,
6556,14012873,,7.5,,,,7.0,7.5,9.5,,
6557,14012874,,5.5,,,,6.5,,9.5,,
6558,14012875,3.4,5.0,,,,5.25,,,,
6559,14012876,,4.0,,,,3.5,5.75,,,
6560,14012877,,3.75,,,,5.75,7.25,,,
6561,14012878,2.8,6.25,,,,5.5,,,,
6562,14012879,,4.5,,,,4.0,6.75,,,
6563,14012880,,3.5,,,,2.0,3.75,,,
6564,14012881,,6.75,,,,6.75,6.75,7.75,,
6565,14012882,7.6,6.25,,,,5.5,7.75,7.25,,
6566,14012883,,4.75,,,,4.25,8.0,8.5,,
6567,14012884,,6.75,,,,5.25,7.5,,,
6568,14012885,7.4,,7.0,5.25,,,,,,
6569,14012886,,7.25,,,,6.75,8.5,,,
6570,14012887,,6.25,,,,9.25,9.75,9.5,,
6571,14012888,6.0,,3.75,4.75,,,,,3.4,N1
6572,14012889,,4.25,,,,1.75,5.75,,,
6573,14012890,,7.0,,,,4.25,7.0,8.25,,
6574,14012891,,4.75,,,,5.5,7.0,,,
6575,14012892,,6.0,,,,5.0,5.75,,,
6576,14012893,,4.75,,,,5.75,8.0,,,
6577,14012894,,5.0,,,,5.75,6.0,,,
6578,14012895,,5.0,,,,8.5,8.0,,,
6579,14012896,6.8,5.25,,,,5.75,,,,
6580,14012897,,6.5,,,,9.0,6.75,7.75,,
6581,14012898,7.4,,,5.0,6.0,,,,,
6582,14012899,8.4,,7.0,6.75,,,,,,
6583,14012900,8.4,,,9.5,8.5,,,,,
6584,14012901,,5.75,,,,7.75,,9.25,,
6585,14012902,,6.25,,,,7.0,7.25,,,
6586,14012903,,5.25,,,,5.0,3.75,,,
6587,14012904,,6.0,,,,,,9.5,,
6588,14012905,,6.75,,,,7.0,7.5,,,
6589,14012906,,4.75,,,,4.75,6.0,,,
6590,14012907,,7.75,,,,7.5,9.25,,,
6591,14012908,,5.5,,,,4.25,7.75,9.25,,
6592,14012909,2.6,4.5,,,,3.25,,,,
6593,14012910,,5.25,,,,6.5,8.25,,,
6594,14012911,7.8,,7.25,7.75,,,,,,
6595,14012912,,6.75,,,,8.0,9.0,9.75,,
6596,14012913,,5.25,,,,6.75,7.25,,,
6597,14012914,2.4,3.5,,,,4.5,,,,
6598,14012915,6.8,7.25,,,,9.25,,,,
6599,14012917,,7.5,,,,9.0,8.75,,,
6600,14012918,,5.25,,,,5.5,7.5,,,
6601,14012919,8.0,,8.25,6.75,,,,,,
6602,14012920,,5.0,,,,3.75,6.5,,,
6603,14012921,,6.0,,,,4.5,6.25,,,
6604,14012922,5.2,4.75,,,,6.0,,,,
6605,14012923,7.0,6.75,,,,8.5,,9.25,,
6606,14012924,,5.25,,,,8.5,8.75,8.75,,
6607,14012925,,3.75,,,,7.25,7.25,,,
6608,14012926,,5.0,,,,9.0,8.0,,,
6609,14012927,,4.25,,,,4.75,6.5,,,
6610,14012928,,6.25,,,,7.0,8.5,,,
6611,14012929,2.4,4.75,,,,4.25,5.5,,,
6612,14012930,,7.0,,,,8.5,8.25,9.0,,
6613,14012931,6.2,6.75,,,,4.75,8.0,8.0,3.8,N1
6614,14012932,7.4,7.5,,,,8.5,9.25,9.5,,
6615,14012933,6.0,6.25,5.5,5.0,,,,,,
6616,14012934,,6.0,,,,4.75,6.25,,,
6617,14012935,7.8,,5.0,,,,,,6.6,N1
6618,14012936,,6.75,,,,5.0,6.75,9.25,,
6619,14012937,2.2,6.25,,,,3.0,,,,
6620,14012938,,5.5,,,,2.75,5.0,,,
6621,14012939,,6.25,,,,9.0,7.25,,,
6622,14012940,,6.0,,,,8.0,8.25,9.0,,
6623,14012941,6.4,6.5,,,,,,,6.6,N1
6624,14012942,,5.75,,,,,,8.25,,
6625,14012943,,6.5,,,,7.25,9.25,,,
6626,14012944,,6.0,,,,6.75,8.75,,,
6627,14012945,,5.0,,,,3.5,5.0,,,
6628,14012946,8.2,,7.5,,,,,,8.0,N1
6629,14012947,,5.5,,,,4.25,6.0,,,
6630,14012948,,5.25,,,,5.0,8.25,,,
6631,14012949,,5.25,,,,5.75,5.5,,,
6632,14012950,,6.0,,,,4.0,6.0,,,
6633,14012951,,6.25,,,,8.75,7.25,,,
6634,14012952,,5.5,,,,9.5,7.75,8.5,,
6635,14012953,,7.0,,,,8.5,7.75,,,
6636,14012954,,5.5,,,,4.75,8.5,,,
6637,14012957,,7.0,,,,8.0,7.5,,,
6638,14012958,6.6,8.0,,,,6.75,9.0,,,
6639,14012959,,5.0,,,,8.75,8.5,,,
6640,14012960,,8.25,,,,9.5,9.0,,,
6641,14012961,,5.5,,,,5.75,8.0,,,
6642,14012962,,3.75,,,,4.5,4.75,2.75,,
6643,14012963,,5.0,,,,6.0,6.75,,,
6644,14012964,,7.25,,,,9.0,8.0,,,
6645,14012965,,5.25,,,,6.75,8.25,,,
6646,14012966,,3.0,,,,5.0,6.0,,,
6647,14012967,,5.0,,,,8.25,7.5,,,
6648,14012968,,7.25,,,,9.0,8.5,,,
6649,14012969,,6.75,,,,8.25,9.0,,,
6650,14012970,,4.25,,,,6.0,5.0,,,
6651,14012971,,4.0,,,,3.75,3.75,,,
6652,14012972,,5.25,,,,7.25,8.0,,,
6653,14012973,,4.25,,,,4.5,5.5,,,
6654,14012974,7.0,,5.25,,,,,,4.4,N1
6655,14012975,,8.25,,,,8.0,8.25,7.25,,
6656,14012976,,4.25,,,,4.5,4.75,,,
6657,14012977,,3.75,,,,3.25,5.75,,,
6658,14012978,6.6,7.5,,,,,,,4.6,N1
6659,14012979,,7.5,,,,6.0,6.5,,,
6660,14012980,,6.25,,,,9.25,9.75,,,
6661,14012981,,6.5,,,,9.25,9.5,9.5,,
6662,14012982,,5.0,,,,6.0,8.0,,,
6663,14012983,,6.75,,,,7.0,8.5,9.5,,
6664,14012985,,5.0,,,,6.5,7.75,,,
6665,14012986,,6.75,,,,7.25,7.5,9.75,,
6666,14012987,,7.0,,,,9.5,9.25,,,
6667,14012988,2.4,5.0,,,,2.5,,,,
6668,14012989,,5.5,,,,7.5,8.25,,,
6669,14012990,,4.75,,,,5.75,7.5,,,
6670,14012991,,6.5,,,,9.25,8.75,,,
6671,14012992,3.6,4.0,,,,3.5,,,,
6672,14012993,2.8,,3.0,3.5,,,,,,
6673,14012994,,3.5,,,,6.0,8.25,6.75,,
6674,14012995,,4.5,,,,6.5,6.0,,,
6675,14012996,,7.5,,,,9.5,7.75,,,
6676,14012997,,4.5,,,,7.25,5.75,,,
6677,14012998,,6.75,,,,8.5,9.0,8.75,,
6678,14012999,,4.25,,,,6.25,7.0,,,
6679,14013000,,6.75,,,,9.5,8.0,,,
6680,14013001,,5.75,,,,9.5,8.25,,,
6681,14013002,7.2,6.25,,,,7.25,8.5,8.75,,
6682,14013003,8.0,7.75,,,,9.5,,,,
6683,14013004,6.8,,3.5,3.5,5.25,,,,,
6684,14013005,,6.5,,,,8.75,8.5,8.75,,
6685,14013006,,5.0,,,,5.5,7.75,,,
6686,14013007,,6.5,,,,,,,,
6687,14013008,3.8,6.5,,,,5.75,,,,
6688,14013009,,6.0,,,,8.0,8.0,,,
6689,14013010,,7.0,,,,6.5,6.5,7.5,,
6690,14013011,3.4,5.0,,,,5.0,6.5,7.25,,
6691,14013012,,6.75,,,,9.25,9.0,,,
6692,14013013,,7.5,,,,7.75,8.0,8.25,,
6693,14013014,,5.0,,,,7.0,7.0,8.5,,
6694,14013015,7.4,,7.25,7.75,,,,,,
6695,14013016,8.0,,7.0,5.5,,,,,,
6696,14013017,3.6,5.25,,,,6.25,7.5,7.25,,
6697,14013019,,4.5,,,,7.5,8.0,9.5,,
6698,14013020,6.0,6.5,,,,8.75,8.0,,,
6699,14013021,6.2,5.75,,,,6.25,8.25,9.0,,
6700,14013022,,5.75,,,,6.25,8.5,9.0,,
6701,14013023,3.0,6.25,,,,7.0,7.75,7.25,,
6702,14013024,,6.25,,,,9.75,9.25,,,
6703,14013025,3.6,5.0,,,,7.25,8.0,8.25,,
6704,14013026,,4.25,,,,3.25,6.75,6.75,,
6705,14013027,,7.0,,,,7.25,7.75,,,
6706,14013028,7.8,,,6.0,7.0,,,,,
6707,14013029,,3.75,,,,7.75,7.0,,,
6708,14013030,,6.0,,,,6.75,7.5,,,
6709,14013031,,6.75,,,,9.75,9.75,,,
6710,14013032,8.4,,8.25,7.5,,,,,,
6711,14013033,,6.5,,,,9.5,9.75,,,
6712,14013034,,4.5,,,,3.75,5.5,7.0,,
6713,14013035,,7.0,,,,6.75,7.5,7.75,,
6714,14013036,5.6,6.75,,,,,,8.5,5.8,N1
6715,14013037,,4.0,,,,3.0,6.0,6.0,,
6716,14013038,,7.5,,,,7.0,8.5,9.25,,
6717,14013040,,7.0,,,,9.25,9.5,,,
6718,14013041,5.6,6.25,,,,5.75,8.0,7.25,,
6719,14013042,7.0,7.0,,,,7.25,,9.75,,
6720,14013043,3.2,5.25,,,,3.25,,7.25,,
6721,14013044,,6.0,,,,3.5,7.25,8.5,,
6722,14013045,,5.75,,,,5.0,7.25,7.5,,
6723,14013046,6.2,,6.25,3.5,,,,,,
6724,14013047,,5.25,,,,7.5,9.5,7.0,,
6725,14013048,,8.0,,,,8.5,8.5,10.0,,
6726,14013049,2.8,3.0,,,,4.0,6.25,,,
6727,14013050,,6.75,,,,3.75,7.75,8.25,,
6728,14013051,2.2,4.5,,,,5.0,6.75,6.75,,
6729,14013052,2.6,5.0,,,,5.0,5.5,9.0,,
6730,14013053,7.8,,6.5,7.0,,,,,,
6731,14013054,,5.75,,,,5.0,7.25,8.5,,
6732,14013055,,6.25,,,,,8.25,9.75,,
6733,14013056,4.4,6.75,,,,6.5,7.75,9.0,,
6734,14013057,5.6,5.5,,,,7.75,,,,
6735,14013058,4.8,6.0,,,,7.25,8.25,,,
6736,14013059,,7.25,,,,9.25,8.75,,,
6737,14013060,,5.75,,,,8.25,8.75,,,
6738,14013061,,6.5,,,,8.75,8.5,9.0,,
6739,14013062,,5.5,,,,7.5,8.25,,,
6740,14013063,,6.5,,,,9.0,7.75,9.0,,
6741,14013064,,5.75,,,,6.0,,6.5,,
6742,14013066,,6.0,,,,7.0,7.0,7.5,,
6743,14013067,,5.5,,,,5.75,9.0,8.5,,
6744,14013068,7.0,,,,,,,,7.4,N1
6745,14013069,4.6,5.25,,,,7.25,6.25,8.0,,
6746,14013070,,7.0,,,,7.75,7.75,,,
6747,14013071,7.6,,3.5,4.0,,,,,,
6748,14013072,,6.25,,,,8.75,9.0,,,
6749,14013073,,6.0,,,,6.25,8.0,,,
6750,14013074,4.4,6.0,,,,5.75,6.5,8.25,,
6751,14013075,,5.5,,,,8.25,8.5,8.75,,
6752,14013076,,7.5,,,,5.25,8.0,8.75,,
6753,14013077,7.6,,7.75,6.75,,,,,,
6754,14013078,,4.75,,,,6.75,7.75,,,
6755,14013079,5.4,7.5,,,,8.25,8.25,8.75,,
6756,14013080,,7.25,,,,4.25,8.0,,,
6757,14013081,,3.0,,,,6.0,6.25,,,
6758,14013082,4.0,3.5,,,,6.0,5.25,6.75,,
6759,14013083,,6.5,,,,8.25,8.0,9.25,,
6760,14013084,7.6,,6.25,,,,,,5.6,N1
6761,14013085,,4.25,,,,2.5,6.25,6.0,,
6762,14013086,,6.0,,,,6.5,7.5,,,
6763,14013087,8.6,6.5,,,,9.0,9.0,9.75,,
6764,14013088,,6.75,,,,6.75,8.75,8.25,,
6765,14013089,,4.75,,,,5.75,7.5,7.75,,
6766,14013090,,5.75,,,,5.75,7.25,8.75,,
6767,14013091,,7.25,,,,8.0,8.0,,,
6768,14013092,3.0,4.25,,,,1.75,4.75,4.5,,
6769,14013093,,6.25,,,,6.5,8.0,,,
6770,14013094,3.8,5.75,,,,5.75,,,,
6771,14013095,,5.0,,,,6.5,8.25,,,
6772,14013097,6.0,,7.0,5.25,,,,,,
6773,14013098,,4.75,,,,6.25,6.5,6.25,,
6774,14013099,,5.0,,,,2.5,5.75,,,
6775,14013100,,4.25,,,,3.5,7.0,8.5,,
6776,14013101,,5.25,,,,8.0,8.25,9.5,,
6777,14013102,,6.75,,,,7.75,7.5,,,
6778,14013103,8.0,,8.5,7.25,,,,,,
6779,14013104,2.4,5.5,,,,6.25,7.25,9.75,,
6780,14013105,,5.5,,,,5.0,7.0,7.75,,
6781,14013106,5.6,6.0,,,,7.75,,8.5,,
6782,14013107,7.4,6.5,,,,7.5,,8.75,,
6783,14013108,6.4,5.75,,,,8.5,,,,
6784,14013109,5.4,6.25,,,,,7.25,8.0,,
6785,14013110,,4.75,,,,8.25,8.0,7.0,,
6786,14013111,,4.0,,,,4.0,5.5,7.25,,
6787,14013112,,7.75,,,,8.25,9.5,9.25,,
6788,14013113,,6.25,,,,7.25,,8.75,,
6789,14013114,,7.75,,,,10.0,9.5,,,
6790,14013115,,6.5,,,,7.75,7.0,8.75,,
6791,14013116,,7.25,,,,9.25,9.25,9.0,,
6792,14013117,1.0,4.0,,,,5.0,5.75,6.75,,
6793,14013118,,5.75,,,,6.5,7.0,,,
6794,14013119,,6.0,,,,7.5,7.5,,,
6795,14013120,,6.0,,,,9.5,9.25,,,
6796,14013121,,5.75,,,,8.25,7.0,,,
6797,14013122,,7.25,,,,5.25,7.75,6.5,,
6798,14013123,5.4,5.5,,,,6.5,6.75,,,
6799,14013124,,5.5,,,,8.75,9.75,,,
6800,14013125,,4.0,,,,6.0,7.75,,,
6801,14013126,,6.75,,,,7.75,9.0,,,
6802,14013127,,7.0,,,,8.75,8.75,,,
6803,14013128,,6.0,,,,7.0,7.5,,,
6804,14013129,6.6,,7.0,7.25,,,,,,
6805,14013130,,6.75,,,,8.25,8.5,9.25,,
6806,14013131,,7.0,,,,9.0,9.25,9.5,,
6807,14013132,4.6,7.5,,,,7.0,7.75,8.5,,
6808,14013133,7.6,5.75,,,,,,,4.6,N1
6809,14013134,,7.5,,,,9.25,9.5,,,
6810,14013135,,5.5,,,,7.5,8.0,,,
6811,14013136,4.8,4.25,,,,4.5,7.0,,,
6812,14013137,,8.25,,,,9.25,9.5,,,
6813,14013138,,6.0,,,,7.5,7.25,9.25,,
6814,14013139,7.0,6.25,,,,8.0,7.75,,,
6815,14013140,,5.5,,,,7.0,6.75,,,
6816,14013141,,5.5,,,,4.75,7.25,,,
6817,14013142,,6.75,,,,7.0,7.5,9.25,,
6818,14013143,,6.25,,,,7.0,8.75,,,
6819,14013145,7.6,8.0,,,,,,,6.4,N1
6820,14013147,,8.0,,,,9.25,8.0,10.0,,
6821,14013148,,6.0,,,,3.0,7.0,7.5,,
6822,14013149,2.8,4.75,,,,6.0,6.0,7.25,2.6,N1
6823,14013150,,6.25,,,,8.5,9.25,,,
6824,14013151,,4.25,,,,3.75,3.0,,,
6825,14013152,,5.5,,,,6.25,6.0,5.25,,
6826,14013153,,6.75,,,,7.5,7.25,,,
6827,14013154,,8.25,,,,9.25,8.0,9.75,,
6828,14013155,,6.75,,,,8.25,9.5,,,
6829,14013156,,3.5,,,,4.0,5.25,,,
6830,14013157,1.6,5.5,,,,4.75,8.75,8.5,2.6,N1
6831,14013158,,5.75,,,,8.5,9.5,7.75,,
6832,14013159,,5.75,,,,5.0,6.5,,,
6833,14013160,,6.25,,,,5.75,7.5,,,
6834,14013161,,6.25,,,,8.75,8.5,,,
6835,14013162,,6.75,,,,7.25,8.25,,,
6836,14013163,5.4,7.75,,,,9.0,7.75,8.5,,
6837,14013164,,4.75,,,,3.5,6.5,,,
6838,14013165,,4.25,,,,7.0,7.75,,,
6839,14013166,,5.75,,,,9.5,8.75,,,
6840,14013167,,6.25,,,,5.25,7.5,,,
6841,14013168,,5.75,,,,4.75,5.75,,,
6842,14013169,1.0,5.25,,,,8.0,6.5,8.0,3.0,N1
6843,14013170,5.2,,3.25,,,,,,4.2,N1
6844,14013171,,6.5,,,,9.75,9.75,,,
6845,14013172,,4.75,,,,5.5,7.25,,,
6846,14013173,,6.5,,,,8.25,8.25,,,
6847,14013174,,6.5,,,,8.5,9.0,,,
6848,14013175,6.6,6.5,,,,4.75,7.25,,,
6849,14013176,,7.0,,,,9.75,9.5,9.75,,
6850,14013177,7.8,7.5,,,,8.75,,,7.8,N1
6851,14013178,,6.0,,,,,,,,
6852,14013179,2.0,3.0,,,,3.25,5.0,5.0,3.2,N1
6853,14013180,,4.5,,,,8.75,8.75,,,
6854,14013181,2.0,5.25,,,,3.5,4.25,7.25,2.4,N1
6855,14013182,,4.5,,,,8.0,8.75,,,
6856,14013183,,5.75,,,,4.0,3.75,,,
6857,14013184,,3.5,,,,2.25,6.5,5.5,,
6858,14013185,,7.5,,,,7.25,8.0,,,
6859,14013187,,6.25,,,,8.5,7.0,,,
6860,14013188,6.4,6.5,,,,,,,7.2,N1
6861,14013189,5.6,7.0,,,,8.75,9.5,,,
6862,14013190,6.4,,3.5,4.25,,,,,,
6863,14013191,,4.75,,,,5.75,6.0,,,
6864,14013192,,7.25,,,,9.25,9.5,,,
6865,14013193,,4.0,,,,3.0,6.75,5.75,,
6866,14013194,,4.75,,,,6.0,5.0,,,
6867,14013195,7.0,7.5,,,,10.0,9.25,,,
6868,14013196,,4.0,,,,2.75,3.5,,,
6869,14013198,3.0,5.0,,,,6.75,7.0,5.5,,
6870,14013199,6.6,,,5.75,6.25,,,,,
6871,14013201,,5.25,,,,5.75,6.25,,,
6872,14013202,,6.75,,,,7.25,8.75,,,
6873,14013203,,3.5,,,,4.5,7.0,,,
6874,14013204,7.2,6.0,,,,,,10.0,,
6875,14013205,4.0,6.5,,,,8.5,8.75,8.5,,
6876,14013206,7.8,,,7.75,6.25,,,,,
6877,14013207,,7.5,,,,9.25,9.25,,,
6878,14013208,3.0,6.25,,,,4.5,4.75,,,
6879,14013209,5.8,6.75,,,,9.0,,,6.8,N1
6880,14013210,,5.0,,,,5.0,6.0,,,
