STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
111,1018103,,3.75,,,,3.25,5.25,7.75,,
112,1018105,,8.25,,,,6.75,6.75,8.75,,
113,1018106,3.4,6.0,,,,6.25,7.0,8.0,,
114,1018107,7.6,9.0,,,,,,,8.4,N1
115,1018109,6.8,7.75,,,,6.25,5.75,7.25,3.6,N1
116,1018110,8.2,,5.5,,,,,,8.2,N1
117,1018111,5.4,7.0,,,,4.25,,,,
118,1018112,,6.5,,,,4.25,4.75,,,
119,1018113,6.4,8.0,,,,4.75,4.0,5.25,4.8,N1
120,1018114,,8.75,,,,8.75,8.5,9.75,,
121,1018115,,7.0,,,,6.5,8.75,,,
122,1018116,6.6,6.75,,,,6.25,7.5,8.5,5.6,N1
123,1018117,,7.5,,,,6.5,7.75,8.25,,
124,1018118,,6.25,,,,6.0,6.5,7.75,,
125,1018119,,4.5,,,,5.25,6.0,,,
126,1018120,2.8,6.0,,,,9.25,8.75,8.5,,
127,1018121,2.2,,4.0,2.0,,,,,,
128,1018123,,8.0,,,,8.75,7.5,,,
129,1018124,7.2,7.75,5.5,,,,,,3.6,N1
130,1018125,7.8,8.0,,,,6.75,7.75,8.25,7.8,N1
131,1018126,,7.5,,,,8.0,7.0,,,
132,1018129,,7.0,,,,8.5,9.25,,,
133,1018130,,7.5,,,,9.25,9.0,,,
134,1018131,5.2,7.25,,,,,,,7.0,N1
135,1018132,,4.75,,,,3.75,4.75,6.75,,
136,1018133,,7.5,,,,5.0,7.25,,,
137,1018134,,3.75,,,,4.25,4.25,,,
138,1018135,,7.0,,,,4.25,6.0,7.5,,
139,1018136,6.6,9.25,,,,,,,3.2,N1
140,1018137,3.0,7.75,,,,9.5,8.0,,,
141,1018138,,5.75,,,,3.0,5.25,,,
142,1018139,3.4,7.5,,,,,,,5.0,N1
143,1018140,,3.75,,,,6.25,7.25,,,
144,1018141,,8.5,,,,5.5,8.0,,,
145,1018142,,7.25,,,,3.5,5.0,8.25,,
146,1018143,8.8,,8.75,,,,,,8.0,N1
147,1018144,,6.75,,,,3.5,6.0,,,
148,1018145,,5.25,,,,4.0,5.0,,,
149,1018146,8.6,,,7.25,8.5,,,,,
150,1018147,,5.75,,,,,,,,
151,1018148,5.2,7.25,,,,,6.75,9.0,,
152,1018149,,7.75,,,,9.25,,,5.8,N1
